Sr No.,"Date of 
Encashment","Bond
Number",Name of the Political Party,Name of the Purchaser,Denominations,"Account no. of
Political Party","Pay Branch
Code",Pay Teller
17033,13-10-2023,OC15979,Bharatiya Janata Party,Divi S Laboratories Limited,10000000,*******8244,691,7516991
17034,13-10-2023,OC16003,Bharatiya Janata Party,Divi S Laboratories Limited,10000000,*******8244,691,7516991
17035,13-10-2023,OC15993,Bharatiya Janata Party,Divi S Laboratories Limited,10000000,*******8244,691,7516991
17036,13-10-2023,OC16013,Bharatiya Janata Party,Divi S Laboratories Limited,10000000,*******8244,691,7516991
17037,13-10-2023,OC15997,Bharatiya Janata Party,Divi S Laboratories Limited,10000000,*******8244,691,7516991
17038,13-10-2023,OC15991,Bharatiya Janata Party,Divi S Laboratories Limited,10000000,*******8244,691,7516991
17039,13-10-2023,OC15967,Bharatiya Janata Party,Divi S Laboratories Limited,10000000,*******8244,691,7516991
17040,13-10-2023,OC16017,Bharatiya Janata Party,Divi S Laboratories Limited,10000000,*******8244,691,7516991
17041,13-10-2023,OC16009,Bharatiya Janata Party,Divi S Laboratories Limited,10000000,*******8244,691,7516991
17042,13-10-2023,OC15949,Bharatiya Janata Party,Divi S Laboratories Limited,10000000,*******8244,691,7516991
17043,13-10-2023,OC16001,Bharatiya Janata Party,Divi S Laboratories Limited,10000000,*******8244,691,7516991
17044,13-10-2023,OC15981,Bharatiya Janata Party,Divi S Laboratories Limited,10000000,*******8244,691,7516991
17045,13-10-2023,OC15975,Bharatiya Janata Party,Divi S Laboratories Limited,10000000,*******8244,691,7516991
17046,13-10-2023,OC15971,Bharatiya Janata Party,Divi S Laboratories Limited,10000000,*******8244,691,7516991
17047,13-10-2023,OC16015,Bharatiya Janata Party,Divi S Laboratories Limited,10000000,*******8244,691,7516991
17643,17-10-2023,OC15963,"President, All India Congress Committee",Divi S Laboratories Limited,10000000,*******4012,691,8212066
17644,17-10-2023,OC15955,"President, All India Congress Committee",Divi S Laboratories Limited,10000000,*******4012,691,8212066
17645,17-10-2023,OC15959,"President, All India Congress Committee",Divi S Laboratories Limited,10000000,*******4012,691,8212066
17646,17-10-2023,OC15961,"President, All India Congress Committee",Divi S Laboratories Limited,10000000,*******4012,691,8212066
17647,17-10-2023,OC15957,"President, All India Congress Committee",Divi S Laboratories Limited,10000000,*******4012,691,8212066
11202,13-07-2022,TL14804,Biju Janata Dal,Divit Security,1000000,*******4340,41,4609514
11203,13-07-2022,TL14808,Biju Janata Dal,Divit Security,1000000,*******4340,41,4609514
11204,13-07-2022,TL14802,Biju Janata Dal,Divit Security,1000000,*******4340,41,4609514
11205,13-07-2022,TL14810,Biju Janata Dal,Divit Security,1000000,*******4340,41,4609514
11206,13-07-2022,TL14806,Biju Janata Dal,Divit Security,1000000,*******4340,41,4609514
16046,15-07-2023,TL15163,Bharat Rashtra Samithi,Divit Security,1000000,*******7477,847,6013147
16047,15-07-2023,TL15175,Bharat Rashtra Samithi,Divit Security,1000000,*******7477,847,6013147
16048,15-07-2023,TL15171,Bharat Rashtra Samithi,Divit Security,1000000,*******7477,847,6013147
16049,15-07-2023,TL15167,Bharat Rashtra Samithi,Divit Security,1000000,*******7477,847,6013147
16050,15-07-2023,TL15165,Bharat Rashtra Samithi,Divit Security,1000000,*******7477,847,6013147
16051,15-07-2023,TL15169,Bharat Rashtra Samithi,Divit Security,1000000,*******7477,847,6013147
16052,15-07-2023,TL15173,Bharat Rashtra Samithi,Divit Security,1000000,*******7477,847,6013147
14107,15-04-2023,OC1092,Bharat Rashtra Samithi,Divyasree Holdings Pvt Ltd,10000000,*******7477,847,3889823
14103,15-04-2023,OC12980,Bharat Rashtra Samithi,Divyasree Nsl Infrastructure Private Lim Ited,10000000,*******7477,847,3889823
14114,15-04-2023,TL1359,Bharat Rashtra Samithi,Divyasree Softtech Realtors Pvt Ltd,1000000,*******7477,847,3889823
14115,15-04-2023,TL1357,Bharat Rashtra Samithi,Divyasree Softtech Realtors Pvt Ltd,1000000,*******7477,847,3889823
14116,15-04-2023,TL1361,Bharat Rashtra Samithi,Divyasree Softtech Realtors Pvt Ltd,1000000,*******7477,847,3889823
14117,15-04-2023,TL1367,Bharat Rashtra Samithi,Divyasree Softtech Realtors Pvt Ltd,1000000,*******7477,847,3889823
14118,15-04-2023,TL1351,Bharat Rashtra Samithi,Divyasree Softtech Realtors Pvt Ltd,1000000,*******7477,847,3889823
14119,15-04-2023,TL1355,Bharat Rashtra Samithi,Divyasree Softtech Realtors Pvt Ltd,1000000,*******7477,847,3889823
14120,15-04-2023,TL1369,Bharat Rashtra Samithi,Divyasree Softtech Realtors Pvt Ltd,1000000,*******7477,847,3889823
14121,15-04-2023,TL1353,Bharat Rashtra Samithi,Divyasree Softtech Realtors Pvt Ltd,1000000,*******7477,847,3889823
14122,15-04-2023,TL1365,Bharat Rashtra Samithi,Divyasree Softtech Realtors Pvt Ltd,1000000,*******7477,847,3889823
14123,15-04-2023,TL1363,Bharat Rashtra Samithi,Divyasree Softtech Realtors Pvt Ltd,1000000,*******7477,847,3889823
14195,15-04-2023,OC14548,Ysr Congress Party (Yuvajana Sramika Rythu Congress Party),Divyesh Power Private Limited,10000000,*******6354,847,3889823
10746,18-04-2022,OC12041,Ysr Congress Party (Yuvajana Sramika Rythu Congress Party),Divyesh Power Pvt Ltd,10000000,*******6354,847,6370918
10747,18-04-2022,OC12039,Ysr Congress Party (Yuvajana Sramika Rythu Congress Party),Divyesh Power Pvt Ltd,10000000,*******6354,847,6370918
8567,12-01-2022,TL13594,Aam Aadmi Party,Diwakar Nigam,1000000,*******5086,691,7516991
8568,12-01-2022,TL13596,Aam Aadmi Party,Diwakar Nigam,1000000,*******5086,691,7516991
8569,12-01-2022,OL3044,Aam Aadmi Party,Diwakar Nigam,100000,*******5086,691,7516991
8570,12-01-2022,OL3038,Aam Aadmi Party,Diwakar Nigam,100000,*******5086,691,7516991
8571,12-01-2022,OL3036,Aam Aadmi Party,Diwakar Nigam,100000,*******5086,691,7516991
8572,12-01-2022,OL3040,Aam Aadmi Party,Diwakar Nigam,100000,*******5086,691,7516991
8573,12-01-2022,OL3042,Aam Aadmi Party,Diwakar Nigam,100000,*******5086,691,7516991
4396,11-10-2019,OC6600,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,2039265
4397,11-10-2019,OC6586,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,2039265
4398,11-10-2019,OC6588,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,2039265
4399,11-10-2019,OC6598,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,2039265
4400,11-10-2019,OC6557,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,2039265
4401,11-10-2019,OC6560,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,2039265
4402,11-10-2019,OC6594,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,2039265
4403,11-10-2019,OC6558,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,2039265
4404,11-10-2019,OC6580,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,2039265
4405,11-10-2019,OC6596,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,2039265
4406,11-10-2019,OC6582,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,2039265
4407,11-10-2019,OC6590,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,2039265
4408,11-10-2019,OC6584,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,2039265
4409,11-10-2019,OC8176,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,2039265
4410,11-10-2019,OC6592,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,2039265
4808,21-01-2020,OC8187,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
4809,21-01-2020,OC8191,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
4810,21-01-2020,OC8109,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
4811,21-01-2020,OC8199,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
4812,21-01-2020,OC8183,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
4813,21-01-2020,OC8189,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
4814,21-01-2020,OC8103,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
4815,21-01-2020,OC8107,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
4816,21-01-2020,OC8105,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
4817,21-01-2020,OC8195,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
4818,21-01-2020,OC8193,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
4819,21-01-2020,OC8111,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
4820,21-01-2020,OC8185,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
4821,21-01-2020,OC8197,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
4822,21-01-2020,OC8101,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
5855,12-04-2021,OC9164,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
5856,12-04-2021,OC9166,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
5857,12-04-2021,OC9160,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
5858,12-04-2021,OC9152,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
5859,12-04-2021,OC9168,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
5860,12-04-2021,OC9158,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
5861,12-04-2021,OC9170,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
5862,12-04-2021,OC9162,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
5863,12-04-2021,OC9154,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
5864,12-04-2021,OC9156,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9592,17-01-2022,OC9342,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9593,17-01-2022,OC9374,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9594,17-01-2022,OC9350,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9595,17-01-2022,OC9344,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9596,17-01-2022,OC9328,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9597,17-01-2022,OC9360,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9598,17-01-2022,OC9362,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9599,17-01-2022,OC9336,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9600,17-01-2022,OC9346,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9601,17-01-2022,OC9356,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9602,17-01-2022,OC9358,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9603,17-01-2022,OC9340,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9604,17-01-2022,OC9368,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9605,17-01-2022,OC9338,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9606,17-01-2022,OC9348,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9607,17-01-2022,OC9332,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9608,17-01-2022,OC9330,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9609,17-01-2022,OC9352,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9610,17-01-2022,OC9370,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9611,17-01-2022,OC9354,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9612,17-01-2022,OC9326,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9613,17-01-2022,OC9366,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9614,17-01-2022,OC9334,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9615,17-01-2022,OC9364,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9616,17-01-2022,OC9372,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9617,17-01-2022,OC9333,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9618,17-01-2022,OC9359,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9619,17-01-2022,OC9337,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9620,17-01-2022,OC9331,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9621,17-01-2022,OC9363,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9622,17-01-2022,OC9361,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9623,17-01-2022,OC9335,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9624,17-01-2022,OC9349,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9625,17-01-2022,OC9367,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9626,17-01-2022,OC9353,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9627,17-01-2022,OC9369,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9628,17-01-2022,OC9371,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9629,17-01-2022,OC9357,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9630,17-01-2022,OC9375,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9631,17-01-2022,OC9365,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9632,17-01-2022,OC9339,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9633,17-01-2022,OC9343,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9634,17-01-2022,OC9347,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9635,17-01-2022,OC9355,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9636,17-01-2022,OC9377,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9637,17-01-2022,OC9379,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9638,17-01-2022,OC9341,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9639,17-01-2022,OC9351,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9640,17-01-2022,OC9373,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
9641,17-01-2022,OC9345,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,7516991
10701,18-04-2022,OC11705,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10702,18-04-2022,OC9314,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10703,18-04-2022,OC11751,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10704,18-04-2022,OC9320,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10705,18-04-2022,OC11737,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10706,18-04-2022,OC11747,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10707,18-04-2022,OC11707,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10708,18-04-2022,OC11733,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10709,18-04-2022,OC11725,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10710,18-04-2022,OC11703,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10711,18-04-2022,OC9318,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10712,18-04-2022,OC11717,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10713,18-04-2022,OC11727,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10714,18-04-2022,OC11743,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10715,18-04-2022,OC11749,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10716,18-04-2022,OC9304,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10717,18-04-2022,OC9306,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10718,18-04-2022,OC11701,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10719,18-04-2022,OC11741,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10720,18-04-2022,OC11729,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10721,18-04-2022,OC9324,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10722,18-04-2022,OC11713,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10723,18-04-2022,OC11735,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10724,18-04-2022,OC11723,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10725,18-04-2022,OC11739,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10726,18-04-2022,OC11753,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10727,18-04-2022,OC9312,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10728,18-04-2022,OC9302,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10729,18-04-2022,OC11711,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10730,18-04-2022,OC11715,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10731,18-04-2022,OC11745,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10732,18-04-2022,OC9308,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10733,18-04-2022,OC11709,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10734,18-04-2022,OC9322,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10735,18-04-2022,OC11721,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10736,18-04-2022,OC11731,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10737,18-04-2022,OC11719,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10738,18-04-2022,OC9310,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10739,18-04-2022,OC9399,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
10740,18-04-2022,OC9316,Bharatiya Janata Party,Dlf Commercial Developers Limited,10000000,*******8244,691,3428540
12367,16-11-2022,OC12568,Bharatiya Janata Party,Dlf Garden City Indore Pvt Ltd,10000000,*******8244,691,5972302
12368,16-11-2022,OC12566,Bharatiya Janata Party,Dlf Garden City Indore Pvt Ltd,10000000,*******8244,691,5972302
12369,16-11-2022,OC12578,Bharatiya Janata Party,Dlf Garden City Indore Pvt Ltd,10000000,*******8244,691,5972302
12370,16-11-2022,OC12588,Bharatiya Janata Party,Dlf Garden City Indore Pvt Ltd,10000000,*******8244,691,5972302
12371,16-11-2022,OC12574,Bharatiya Janata Party,Dlf Garden City Indore Pvt Ltd,10000000,*******8244,691,5972302
12372,16-11-2022,OC12586,Bharatiya Janata Party,Dlf Garden City Indore Pvt Ltd,10000000,*******8244,691,5972302
12373,16-11-2022,OC12572,Bharatiya Janata Party,Dlf Garden City Indore Pvt Ltd,10000000,*******8244,691,5972302
12374,16-11-2022,OC12570,Bharatiya Janata Party,Dlf Garden City Indore Pvt Ltd,10000000,*******8244,691,5972302
12375,16-11-2022,OC12564,Bharatiya Janata Party,Dlf Garden City Indore Pvt Ltd,10000000,*******8244,691,5972302
12376,16-11-2022,OC12582,Bharatiya Janata Party,Dlf Garden City Indore Pvt Ltd,10000000,*******8244,691,5972302
12377,16-11-2022,OC12580,Bharatiya Janata Party,Dlf Garden City Indore Pvt Ltd,10000000,*******8244,691,5972302
12378,16-11-2022,OC12590,Bharatiya Janata Party,Dlf Garden City Indore Pvt Ltd,10000000,*******8244,691,5972302
12379,16-11-2022,OC12592,Bharatiya Janata Party,Dlf Garden City Indore Pvt Ltd,10000000,*******8244,691,5972302
12380,16-11-2022,OC12576,Bharatiya Janata Party,Dlf Garden City Indore Pvt Ltd,10000000,*******8244,691,5972302
12381,16-11-2022,OC12584,Bharatiya Janata Party,Dlf Garden City Indore Pvt Ltd,10000000,*******8244,691,5972302
4386,11-10-2019,OC6579,Bharatiya Janata Party,Dlf Luxury Homes Limited,10000000,*******8244,691,2039265
4387,11-10-2019,OC6583,Bharatiya Janata Party,Dlf Luxury Homes Limited,10000000,*******8244,691,2039265
4388,11-10-2019,OC6597,Bharatiya Janata Party,Dlf Luxury Homes Limited,10000000,*******8244,691,2039265
4389,11-10-2019,OC6581,Bharatiya Janata Party,Dlf Luxury Homes Limited,10000000,*******8244,691,2039265
4390,11-10-2019,OC6589,Bharatiya Janata Party,Dlf Luxury Homes Limited,10000000,*******8244,691,2039265
4391,11-10-2019,OC6595,Bharatiya Janata Party,Dlf Luxury Homes Limited,10000000,*******8244,691,2039265
4392,11-10-2019,OC6587,Bharatiya Janata Party,Dlf Luxury Homes Limited,10000000,*******8244,691,2039265
4393,11-10-2019,OC6593,Bharatiya Janata Party,Dlf Luxury Homes Limited,10000000,*******8244,691,2039265
4394,11-10-2019,OC6591,Bharatiya Janata Party,Dlf Luxury Homes Limited,10000000,*******8244,691,2039265
4395,11-10-2019,OC6585,Bharatiya Janata Party,Dlf Luxury Homes Limited,10000000,*******8244,691,2039265
5865,12-04-2021,OC9180,Bharatiya Janata Party,Dlf Luxury Homes Limited,10000000,*******8244,691,7516991
5866,12-04-2021,OC9172,Bharatiya Janata Party,Dlf Luxury Homes Limited,10000000,*******8244,691,7516991
5867,12-04-2021,OC9178,Bharatiya Janata Party,Dlf Luxury Homes Limited,10000000,*******8244,691,7516991
5868,12-04-2021,OC9174,Bharatiya Janata Party,Dlf Luxury Homes Limited,10000000,*******8244,691,7516991
5869,12-04-2021,OC9176,Bharatiya Janata Party,Dlf Luxury Homes Limited,10000000,*******8244,691,7516991
12357,16-11-2022,OC12558,Bharatiya Janata Party,Dlf Luxury Homes Limited,10000000,*******8244,691,5972302
12358,16-11-2022,OC12546,Bharatiya Janata Party,Dlf Luxury Homes Limited,10000000,*******8244,691,5972302
12359,16-11-2022,OC12556,Bharatiya Janata Party,Dlf Luxury Homes Limited,10000000,*******8244,691,5972302
12360,16-11-2022,OC12560,Bharatiya Janata Party,Dlf Luxury Homes Limited,10000000,*******8244,691,5972302
12361,16-11-2022,OC12552,Bharatiya Janata Party,Dlf Luxury Homes Limited,10000000,*******8244,691,5972302
12362,16-11-2022,OC12562,Bharatiya Janata Party,Dlf Luxury Homes Limited,10000000,*******8244,691,5972302
12363,16-11-2022,OC12550,Bharatiya Janata Party,Dlf Luxury Homes Limited,10000000,*******8244,691,5972302
12364,16-11-2022,OC12544,Bharatiya Janata Party,Dlf Luxury Homes Limited,10000000,*******8244,691,5972302
12365,16-11-2022,OC12554,Bharatiya Janata Party,Dlf Luxury Homes Limited,10000000,*******8244,691,5972302
12366,16-11-2022,OC12548,Bharatiya Janata Party,Dlf Luxury Homes Limited,10000000,*******8244,691,5972302
16045,15-07-2023,OC15563,Bharat Rashtra Samithi,Doyen Engineering Services Private,10000000,*******7477,847,6013147
8864,12-01-2022,TL1683,"President, All India Congress Committee",Dr Healthtech,1000000,*******4012,691,7516991
8865,12-01-2022,TL1687,"President, All India Congress Committee",Dr Healthtech,1000000,*******4012,691,7516991
8866,12-01-2022,TL1681,"President, All India Congress Committee",Dr Healthtech,1000000,*******4012,691,7516991
8867,12-01-2022,TL1685,"President, All India Congress Committee",Dr Healthtech,1000000,*******4012,691,7516991
11171,12-07-2022,TL1692,"President, All India Congress Committee",Dr Healthtech,1000000,*******4012,691,7516991
11172,12-07-2022,TL1695,"President, All India Congress Committee",Dr Healthtech,1000000,*******4012,691,7516991
11173,12-07-2022,TL1689,"President, All India Congress Committee",Dr Healthtech,1000000,*******4012,691,7516991
11174,12-07-2022,TL1698,"President, All India Congress Committee",Dr Healthtech,1000000,*******4012,691,7516991
10819,05-07-2022,OC12072,Telugu Desam Party,Dr Reddys Laboratories Limited,10000000,*******3067,847,3889823
10820,05-07-2022,OC12068,Telugu Desam Party,Dr Reddys Laboratories Limited,10000000,*******3067,847,3889823
10821,05-07-2022,OC12070,Telugu Desam Party,Dr Reddys Laboratories Limited,10000000,*******3067,847,3889823
11154,12-07-2022,OC12066,Bharatiya Janata Party,Dr Reddys Laboratories Limited,10000000,*******8244,691,7516991
6253,13-04-2021,TL13545,"President, All India Congress Committee",Dr. Mandeep Sharma,1000000,*******4012,691,7516991
6254,13-04-2021,TL13543,"President, All India Congress Committee",Dr. Mandeep Sharma,1000000,*******4012,691,7516991
6274,13-04-2021,OL3243,"President, All India Congress Committee",Dr. Mandeep Sharma,100000,*******4012,691,3428540
6275,13-04-2021,OL3245,"President, All India Congress Committee",Dr. Mandeep Sharma,100000,*******4012,691,3428540
6276,13-04-2021,OL3247,"President, All India Congress Committee",Dr. Mandeep Sharma,100000,*******4012,691,3428540
6277,13-04-2021,OL3241,"President, All India Congress Committee",Dr. Mandeep Sharma,100000,*******4012,691,3428540
6278,13-04-2021,OL3249,"President, All India Congress Committee",Dr. Mandeep Sharma,100000,*******4012,691,3428540
